Turkish,English
uyumak,sleep
dost,friend
yanmak,burn
anlayış,understanding
asıl,noble
basmak,print
kenar,edge
kontrol,control
çevirmek,turn
din,religion
güçlü,strong
henüz,yet
plan,plan
beyin,brain
elektrik,electricity
karı,wife
üstünde,on
et,meat
sağlanmak,to provide
söylenmek,grouch
çizgi,line
uç,three
üye,member
cilt,skin
ruh,soul
sevgili,dear
yaklaşmak,approach
süreç,process
bakış,view
bilim,science
ileri,Further
ifade,expression
beden,Body size
hatırlamak,remember
kaza,accident
iyice,thoroughly
dağ,mountain
kapatmak,close
adım,step
ciddi,serious
çözüm,solution
etkilemek,affect
belediye,municipality
gelişme,development
seçim,selection
ağlamak,cry
bağlı,connected
kavram,concept
artırmak,increase
faaliyet,activity
zarar,damage
derin,deep
salon,living room
çeşit,kind
kesilmek,be cut
seyretmek,watch
birden,suddenly
içermek,contain
sayılmak,be counted
toplamak,collect
aşmak,exceed
bağırmak,yell
sorumluluk,responsibility
davranmak,behave
mektup,letter
soğuk,cold
canlı,Alive
idi,was
makine,machine
yararlanmak,benefit
yaşlı,old
boş,
acaba,I wonder
maç,match
yönetici,manager
getirilmek,to be
metre,meter
tutulmak,be held
kalite,quality
bitki,plant
değişiklik,alteration
ilaç,medicine
kredi,credit
yasa,live
başarılı,successful
birer,a
imkan,facility
ceza,criminal
her şey,everything
incelemek,examine
top,ball
uzman,expert
doldurmak,fill
kanal,channel
mekân,place
uymak,comply
yıllık,yearly
dolayısıyla,because of
yazılmak,sign up
ait,belonging to
parmak,finger
saymak,count
atılmak,plunge
belirlemek,determine
normal,normal
hele,hele
ilke,principle
kırmızı,red
rol,role
şarkı,song
eleman,Workman
hazır,ready
benzemek,look alike
bir şey,something
hoca,teacher
boy,size
günlük,diary
politika,policy
suç,crime
niye,why
sahne,scene
sokmak,sting
adet,piece
koltuk,armchair
kurtarmak,rescue
sanatçı,artist
tercih etmek,prefer
uzanmak,reach
aşama,stage
eklemek,add
orman,Forest
ayırmak,reserve
düzen,order
faiz,interest
genellikle,usually
her zaman,always
hikaye,story
hücre,cell
ora,ora
roman,novel
vergi,tax
yakmak,burn
ağabey,brother
basın,Press
destek,support
giymek,wear
hata,error
sınır,boundary
birlik,unity
eser,work
karşılamak,meet
yarı,half
yeterli,enough
birey,individual
karanlık,dark
otobüs,bus
sanayi,industry
bebek,baby
vatandaş,citizen
bakan,minister
kere,times
millet,nation
reklam,advertisement
yükselmek,rise
boyut,size
dergi,magazine
enflasyon,inflation
sosyal,social
birisi,someone
geçmiş,past
hastahane,hospitals
olma,being
toplantı,meeting
gazeteci,journalist
içerisi,within
inanç,faith
nitelik,quality
üzeri,over
bitirmek,finish
gerçekleşmek,materialize
giriş,login
rahat,comfortable
toplam,total
beraber,together
dükkan,store
gizli,hidden
benzer,similar
deri,skin
dönüşmek,turn
mücadele,struggle
problem,problem
servis,service
tedavi,treatment
yeşil,green
bakanlık,ministry
baskı,printing
tepki,reaction
cümle,sentence
dilemek,wish
özgürlük,freedom
gene,again
kimlik,ID
mesele,issue
üçüncü,third
belirlenmek,to be determined
değerlendirmek,evaluate
ilginç,interesting
sürücü,driver
süt,milk
yakalamak,catch
eşya,goods
uluslararası,international
aday,candidate
ağırlık,weight
milyar,billion
sağlıklı,healthy
sıkıntı,trouble
Tanrı,God
tavır,attitude
toplumsal,social
yayın,broadcasting
dikkat etmek,to be careful
son derece,extremely
toplanmak,collect
yatırım,investment
hafif,light
karışmak,interfere
tehlike,danger
vakit,time
daire,circle
fırsat,opportunity
işlemek,handle
karıştırmak,confuse
katkı,additive
öykü,story
tamamen,completely
uçak,airplane
yanıt,response
doğa,nature
evlenmek,get married
burun,nose
çıkar,interest
elbette,of course
işçi,worker
işletme,operating
kısaca,briefly
mağaza,shop
medya,media
yüzünden,because
artış,increase
çıkarılmak,to be removed
kamu,public
sigorta,insurance
yaz,summer
yürek,heart
belge,document
çaba,effort
her gün,everyday
ifade etmek,express
risk,risk
söz etmek,mention
sözcük,word
demokrasi,democracy
tuz,salt
cami,mosque
çağ,age
düşük,low
etraf,surroundings
hızla,quickly
olanak,possibility
organ,organ
öldürmek,kill
öteki,other
sene,year
bozulmak,addle
ilgilenmek,be interested in
meyve,fruit
takılmak,hang out
tatlı,dessert
bacak,leg
değişim,change
kanun,law
rüzgar,wind
cumhuriyet,republic
geliştirmek,develop
tarz,style
yedi,seven
azalmak,decrease
bağlamak,connect
cep telefonu,mobile phone
iletişim,Contact
müdür,manager
otel,hotel
yayımlanmak,to be published
zevk,taste
binmek,ride
güvenlik,security
hukuk,law
kılmak,render
modern,modern
okur,reader
silah,weapon
talep,request
yıldız,star
yoğun,Dense
asker,soldier
basit,simple
denilmek,to be called
gaz,gas
uygulama,application
üretilmek,produce
beyan,declaration
besin,food
dün,yesterday
görüşmek,discuss
yaklaşık,about
alışveriş,shopping
bilinç,consciousness
çerçeve,frame
lazım,necessary
mevcut,available
tüketici,consumer
uzatmak,extend
yönelik,intended
at,horse
bağlanmak,connect
mesela,for example
neredeyse,almost
site,sites
yardımcı olmak,help
abla,older sister
çiçek,flower
hepsi,all
saygı,respect
ücret,fee
kilo,kilo
paylaşmak,share
sert,hard
yanı sıra,Besides the
çay,tea
gider,expense
kesin,exact
zengin,rich
asla,never
laf,word
örgüt,organization
ticaret,trade
yaptırmak,have it made
boyun,neck
cihaz,device
denge,balance
giderek,increasingly
sırt,back
dolayı,because
kahve,coffee
kas,eyebrow
meclis,council
öteki,other
uğraşmak,deal
adres,address
belirtilmek,to be specified
paşa,Pasha
sıcaklık,temperature
tamam,OK
güven,confidence
marka,brand
yaprak,leaf
yarar,benefit
yayılmak,spread
akmak,flow
çizmek,draw
düşünülmek,to be considered
gönül,heart
hayal,dream
ilerlemek,advance
şarap,wine
yukarıda,above
altın,gold
düzenlemek,organize
satın almak,Purchasing
sunulmak,to be presented
temiz,clean
vitamin,vitamin
ek,additional
geç,late
hareket etmek,act
yumurta,egg
aşırı,extreme
eylem,action
istenmek,to the desired
kesim,cut
kriz,crisis
birim,unit
kapanmak,close down
